date,pm25,pm10,o3,no2,so2,co
2022/9/16, 46, 34, 13, 21, 6, 
2022/9/17, 41, 54, 17, 20, 5, 
2022/9/18, 70, 52, 17, 19, 5, 
2022/9/19, 69, 45, 16, 13, 5, 
2022/9/20, 64, 51, 17, 16, 6, 
2022/9/21, 63, 56, 12, 21, 6, 
2022/9/22, 67, 32, 25, 14, 6, 
2022/9/23, 53, 17, 27, 12, 6, 
2022/9/24, 26, 11, 37, 5, 5, 
2022/9/25, 19, 12, 40, 16, 5, 
2022/9/26, 23, 24, 62, 20, 6, 
2022/9/27, 45, 35, 59, 25, 7, 
2022/9/28, 59, 33, 23, 10, 7, 
2022/9/29, 52, 31, 23, 17, 6, 
2022/9/30, 50, 37, 31, 21, 6, 
2022/4/1, 79, 66, 13, 25, 15, 6
2022/4/2, 93, 71, 13, 17, 16, 7
2022/4/3, 100, 83, 13, 14, 17, 9
2022/4/4, 100, 41, 13, 11, 14, 2
2022/4/5, 51, 31, 13, 17, 16, 4
2022/4/6, 56, 48, 13, 17, 15, 5
2022/4/7, 73, 43, 13, 18, 21, 170
2022/4/8, 77, 40, 13, 9, 16, 
2022/4/9, 77, 28, 13, 16, 15, 82
2022/4/10, 63, 35, 13, 17, 17, 
2022/4/11, 63, 52, 13, 12, 17, 
2022/4/12, 75, 17, 13, 7, 18, 
2022/4/13, 25, 11, 13, 8, 17, 
2022/4/14, 21, 14, 13, 9, 16, 
2022/4/15, 28, 18, 13, 14, 17, 
2022/4/16, 35, 35, 13, 18, 18, 
2022/4/17, 58, 42, 13, 17, 18, 
2022/4/18, 69, 52, 13, 21, 18, 
2022/4/19, 83, 75, 13, 13, 19, 
2022/4/20, 132, 39, 13, 12, 19, 
2022/4/21, 51, 38, 13, 7, 18, 
2022/4/22, 53, 21, 13, 13, 18, 
2022/4/23, 41, 36, 13, 14, 18, 
2022/4/24, 62, 36, 13, 17, 19, 
2022/4/25, 63, 47, 13, 16, 19, 
2022/4/26, 71, 55, 13, 17, 18, 
2022/4/27, 77, 58, 14, 14, 16, 
2022/4/28, 76, 55, 13, 18, 15, 
2022/4/29, 70, 39, 13, 12, 17, 
2022/4/30, 55, 37, 14, 10, 17, 
2022/5/1, 63, 24, 13, 8, 17, 
2022/5/2, 41, 10, 14, 10, 17, 
2022/5/3, 15, 42, 13, 10, 17, 
2022/5/4, 56, 45, 13, 12, 17, 
2022/5/5, 65, 15, 13, 10, 17, 
2022/5/6, 22, 12, 14, 16, 17, 
2022/5/7, 30, 8, 14, 6, 17, 
2022/5/8, 17, 7, 13, 5, 17, 4
2022/5/9, 10, 8, 13, 6, 18, 2
2022/5/10, 13, 11, 14, 11, 18, 2
2022/5/11, 20, 21, 13, 8, 17, 3
2022/5/12, 49, 24, 13, 10, 17, 3
2022/5/13, 51, 28, 13, 15, 18, 5
2022/5/14, 57, 24, 13, 15, 18, 3
2022/5/15, 51, 21, 14, 7, 18, 1
2022/5/16, 42, 16, 14, 7, 18, 1
2022/5/17, 38, 20, 14, 12, 19, 3
2022/5/18, 43, 27, 13, 14, 19, 2
2022/5/19, 56, 22, 14, 4, 18, 3
